gene,annotation
1104|00057,endoribonuclease l-psp
1104|00058,hypothetical protein CGGC5_10962
1104|00059,c6 transcription factor
1104|00060,mfs quinate transporter
1104|00061,family 5 carbohydrate esterase
1104|00062,sugar porter family mfs transporter
1104|00063,calcium-translocating p-type atpase
1104|00064,duf221 domain-containing protein
1104|00065,aminotransferase class-iii
1104|00066,major facilitator superfamily transporter
1104|00067,hypothetical protein CGLO_16673
1104|00068,lignostilbene dioxygenase family protein
1104|00069,glycosyl hydrolase
1104|00070,hypothetical protein CGGC5_6100
1104|00071,major facilitator superfamily transporter
1104|00072,aldehyde dehydrogenase
1104|00073,cytochrome b2
1104|00074,hypothetical protein CGGC5_6120
1104|00075,aryl-alcohol dehydrogenase
1104|00076,c6 zinc finger domain-containing protein
1104|00077,hypothetical protein CGGC5_6097
1104|00078,hypothetical protein CGGC5_6096
1104|00079,c6 transcription factor
1104|00080,hypothetical protein CGGC5_6125
1104|00081,major facilitator superfamily protein
1104|00082,alpha beta hydrolase fold-3 domain-containing protein
1104|00083,paxu protein
1104|00084,cupin domain-containing protein
1104|00085,short-chain dehydrogenase reductase
1104|00086,aaa family
1104|00087,hpp family protein
1104|00088,hypothetical protein CGGC5_6135
1104|00089,carboxylesterase family protein
1104|00090,glycosyltransferase family 20
1104|00091,mosc domain-containing protein
1104|00092,major facilitator superfamily transporter
1104|00093,hypothetical protein CGGC5_6149
1104|00094,amidase family protein
1104|00095,myo-inositol 2-dehydrogenase
1104|00096,chitinase 1
1104|00097,hypothetical protein CGLO_12099
1104|00098,oligopeptide transporter 8
1104|00099,pectate lyase 2
1104|00100,cytochrome p450 oxidoreductase
1104|00101,ercc4 domain-containing protein
1104|00102,starch binding domain-containing protein
1104|00103,mgmt family protein
1104|00104,hypothetical protein CGGC5_6131
1104|00105,hypothetical protein CGGC5_6129
1104|00106,aristolochene synthase
1104|00107,---NA---
1104|00108,hypothetical protein CGGC5_6142
1104|00109,fad binding domain-containing protein
1104|00110,hypothetical protein CGGC5_6141
1104|00111,hypothetical protein CGLO_16481
1104|00112,integral membrane protein
1104|00113,hypothetical protein CGGC5_6144
1104|00114,aryl-alcohol dehydrogenase
1104|00115,phosphoglycerate mutase
1104|00116,mip family channel protein
1104|00117,hypothetical protein CGLO_06453
1104|00118,thioesterase family protein
1104|00119,retinol dehydrogenase 12
1104|00120,pa domain-containing protein
1104|00121,rta1 domain protein
1104|00122,retinol dehydrogenase 12
1104|00123,sirq protein
1104|00124,arylsulfatase
1104|00125,gnat family
1104|00126,cytochrome p450
1104|00127,nacht and wd domain protein
1104|00128,glutathione-dependent formaldehyde- gfa
1104|00129,kinesin motor domain-containing protein
1104|00130,carboxylesterase family protein
1104|00131,hypothetical protein CGLO_05898
1104|00132,rheb small monomeric gtpase
1104|00133,glucosamine 6-phosphate synthetase
1104|00134,hypothetical protein CGGC5_11526
1104|00135,arca-like protein
1104|00136,ubiquitin-conjugating enzyme
1104|00137,p-type atpase
1104|00138,methyltransferase domain-containing protein
1104|00139,alpha beta fold family
1104|00140,peptidase family c78
1104|00141,cyanate hydratase
1104|00142,cation diffusion facilitator
1104|00143,vacuolar sorting protein vps1
1104|00144,rrna processing protein
1104|00145,rheb small monomeric gtpase
1104|00146,abc multidrug transporter mdr1
1104|00147,alpha-ketoglutarate-dependent taurine dioxygenase
1104|00148,transcription elongation factor
1104|00149,tfiiic transcription initiation factor complex subunits tfc3
1104|00150,mynd finger
1104|00151,hypothetical protein CGGC5_11530
1104|00152,d-3-phosphoglycerate dehydrogenase
1104|00153,urease accessory protein
1104|00154,major facilitator superfamily transporter
1104|00155,dynamin family protein
1104|00156,class v myosin
1104|00157,pos9-activating factor fap7
1104|00158,ribosomal s3ae family protein
1104|00159,cytochrome b5
1104|00160,nucleosome assembly protein
1104|00161,ham1 family protein
1104|00162,uracil phosphoribosyltransferase
1104|00163,sugar transporter
1104|00164,gtp cyclohydrolase ii
1104|00165,hypothetical protein CGLO_05742
1104|00166,rna polymerase iii rpc4
1104|00167,urease accessory protein
1104|00168,aromatic ring-opening dioxygenase family protein
1104|00169,hypothetical protein CGGC5_11534
1104|00170,pectate lyase
1104|00171,at hook domain-containing protein
1104|00172,lysosomal cystine transporter
1104|00173,helicase associated domain-containing protein
1104|00174,wd domain-containing protein
1104|00175,hypothetical protein CGGC5_11550
1104|00176,alpha-l-rhamnosidase a
1104|00177,fad dependent oxidoreductase
1104|00178,aldehyde dehydrogenase
1104|00179,telomere-binding alpha subunit central domain-containing protein
1104|00180,g2 mitotic-specific cyclin cdc13
1104|00181,signal sequence receptor alpha chain
1104|00182,c6 finger domain-containing protein
1104|00183,hypothetical protein CGLO_03742
1104|00184,hit domain-containing protein
1104|00185,rhomboid family protein
1104|00186,dna polymerase delta catalytic subunit
1104|00187,mitotic cohesin complex
1104|00188,x-pro dipeptidyl-peptidase (s15 family) protein
1104|00189,geranylgeranyl pyrophosphate synthetase
1104|00190,glucose-methanol-choline oxidoreductase
1104|00191,major facilitator superfamily transporter
1104|00192,hypothetical protein CGGC5_11539
1104|00193,mediator complex subunit med5
1104|00194,mitochondrial carrier
1104|00195,integral membrane family protein
1104|00196,importin alpha subunit
1104|00197,glutamate leucine phenylalanine valine dehydrogenase
1104|00198,---NA---
1104|00199,---NA---
1104|00200,calcium influx-promoting protein ehs1
1104|00201,f-box domain-containing protein
1104|00202,rrna processing protein
1104|00203,hypothetical protein CGGC5_11563
1104|00204,snf1 kinase complex beta-subunit
1104|00205,---NA---
1104|00206,transcriptional elongation protein
1104|00207,glutathione s-transferase domain-containing protein
1104|00208,hypothetical protein CGGC5_15145
1104|00209,secretion pathway protein sls2 rcy1
1104|00210,snf2 family helicase
1104|00211,serine threonine-protein kinase bur-1
1104|00212,nitrate assimilation regulatory protein
1104|00213,---NA---
1104|00214,frag1 dram sfk1 family protein
1104|00215,tetratricopeptide repeat domain-containing protein
1104|00216,tyrosine serine protein phosphatase
1104|00217,calcineurin subunit b
1104|00218,membrane biogenesis protein yop1
1104|00219,serine threonine-protein phosphatase 5
1104|00220,abc1 family protein
1104|00221,nuclear protein es2
1104|00222,zinc finger protein rts2
1104|00223,hypothetical protein CGGC5_15136
1104|00224,igr protein domain-containing protein
1104|00225,serine threonine-protein kinase
1104|00226,rhomboid family membrane protein
1104|00227,hypothetical protein CGLO_03736
1104|00228,phosphoprotein phosphatase
1104|00229,hypothetical protein CGGC5_15153
1104|00230,hypothetical protein CGGC5_15146
1104|00231,actin-binding protein
1104|00232,hypothetical protein CGGC5_15144
1104|00233,hypothetical protein CGLO_05459
1104|00234,hypothetical protein CGGC5_15143
1104|00235,asparaginase
1104|00236,pfs domain-containing protein
1104|00237,hypothetical protein FOXB_08170
1104|00238,hexose carrier protein
1104|00239,ribosomal protein s9 s16
1104|00240,pentatricopeptide repeat domain-containing protein
1104|00241,rfx dna-binding domain-containing protein
1104|00242,aspartate kinase
1104|00243,o-sialoglycoprotein endopeptidase
1104|00244,hypothetical protein CGLO_08316
1104|00245,major facilitator superfamily transporter
1104|00246,histone acetyltransferase complex component
1104|00247,hypothetical protein CGLO_16220
1104|00248,hypothetical protein CGLO_16864
1104|00249,---NA---
1104|00250,hsp70-like protein
1104|00251,hypothetical protein CSUB01_07535
1104|00252,---NA---
1104|00253,hypothetical protein CGGC5_13776
1104|00254,meiotically up-regulated 80 protein
1104|00255,c6 transcription factor
1104|00256,heat repeat containing protein
1104|00257,nuclear localization protein
1104|00258,serine threonine-protein kinase cot-1
1104|00259,hypothetical protein CGLO_03222
1104|00260,kinesin light
1104|00261,hypothetical protein CGGC5_12328
1104|00262,hypothetical protein CGLO_03227
1104|00263,hypothetical protein CGLO_03221
1104|00264,kinesin light
1104|00265,hypothetical protein CH063_03733
1104|00266,nefa-interacting nuclear protein
1104|00267,fad dependent oxidoreductase
1104|00268,hypothetical protein CGGC5_12768
1104|00269,tim complex component tim54
1104|00270,transcription factor tfiib
1104|00271,hypothetical protein CGGC5_12330
1104|00272,transcription factor tfiib
1104|00273,splicing factor 3a subunit 2
1104|00274,duf300 domain-containing protein
1104|00275,mucin family signaling protein
1104|00276,hypothetical protein V502_03065
1104|00277,hypothetical protein CGLO_07310
1104|00278,arsenite efflux transporter
1104|00279,phd finger domain-containing protein
1104|00280,gdsl-like lipase acylhydrolase
1104|00281,acetyl- propionyl-coenzyme a carboxylase alpha chain
1104|00282,hypothetical protein CGLO_07629
1104|00283,glycoside hydrolase
1104|00284,#NAME?
1104|00285,glutathione-dependent formaldehyde-activating enzyme
1104|00286,secreted protein
1104|00287,membrane protein
1104|00288,hypothetical protein CGGC5_12322
1104|00289,---NA---
1104|00290,---NA---
1104|00291,---NA---
1104|00292,isoflavone reductase family protein
1104|00293,hypothetical protein Cob_07519
1104|00294,fungal specific transcription factor domain-containing protein
1104|00295,glycosyl hydrolase family 43
1104|00296,aldehyde dehydrogenase-like protein
1104|00297,carboxylesterase family protein
1104|00298,2og-fe oxygenase family protein
1104|00299,peptidase family m20 m25 m40 protein
1104|00300,hexose transporter protein
1104|00301,aristolochene synthase
1104|00302,o-acetylhomoserine o-acetylserine sulfhydrylase
1104|00303,leptomycin b resistance protein pmd1
1104|00304,hypothetical protein CGLO_04474
1104|00305,fermentation associated protein
1104|00306,secreted protein
1104|00307,ankyrin repeat-containing domain partial
1104|00308,cutinase
1104|00309,plant basic secretory protein
1104|00310,intracellular hyphae protein 1
1104|00311,c6 finger domain-containing protein
1104|00312,short chain dehydrogenase reductase family
1104|00313,hypothetical protein CGGC5_15062
1104|00314,hypothetical protein CGLO_04468
1104|00315,major facilitator superfamily transporter
1104|00316,hypothetical protein CGGC5_14276
1104|00317,amp-binding enzyme
1104|00318,short-chain dehydrogenase reductase family
1104|00319,elongation factor 2
1104|00320,trichothecene efflux pump
1104|00321,phosphatidylethanolamine n-methyltransferase
1104|00322,c6 zinc finger domain containing protein
1104|00323,signal recognition particle protein
1104|00324,extracellular aldonolactonase
1104|00325,benzoate 4-monooxygenase cytochrome p450
1104|00326,methyltransferase domain-containing protein
1104|00327,pectate lyase
1104|00328,hypothetical protein CGGC5_15066
1104|00329,cytochrome p450
1104|00330,glycosyl hydrolase family 92
1104|00331,exocyst complex component sec5
1104|00332,methyltransferase domain-containing protein
1104|00333,rna recognition domain-containing protein
1104|00334,beta-glucosidase g
1104|00335,oxysterol-binding protein
1104|00336,nuclear pore protein
1104|00337,nacht and ankyrin domain protein
1104|00338,choline dehydrogenase
1104|00339,serine esterase family protein
1104|00340,prenyltransferase
1104|00341,rna recognition domain-containing protein
1104|00342,wd domain-containing protein
1104|00343,d-lactate mitochondrial precursor
1104|00344,maltose permease
1104|00345,---NA---
1104|00346,zinc-binding dehydrogenase
1104|00347,serine carboxypeptidase
1104|00348,glycosyl hydrolase family 10
1104|00349,cfem domain-containing protein
1104|00350,nacht and ankyrin domain protein
1104|00351,---NA---
1104|00352,hypothetical protein CGLO_07208
1104|00353,alcohol dehydrogenase -like domain-containing protein
1104|00354,hypothetical protein CGGC5_5594
1104|00355,short-chain dehydrogenase reductase family
1104|00356,snf2 family domain-containing protein
1104|00357,dihydrolipoamide succinyltransferase
1104|00358,hypothetical protein CGGC5_13954
1104|00359,cytochrome p450
1104|00360,choline transport
1104|00361,thermostable beta-glucosidase b
1104|00362,fungal specific transcription factor domain-containing protein
1104|00363,pantothenate transporter
1104|00364,succinate-semialdehyde dehydrogenase
1104|00365,histidine acid phosphatase
1104|00366,oxidase
1104|00367,pantothenate transporter
1104|00368,zinc alcohol dehydrogenase
1104|00369,ssu processome component
1104|00370,oxoglutarate dehydrogenase
1104|00371,natterin-like protein
1104|00372,aaa family
1104|00373,sulfatase domain protein
1104|00374,5-aminolevulinate mitochondrial precursor
1104|00375,glycoside hydrolase family 13
1104|00376,metallo-beta-lactamase superfamily protein
1104|00377,hypothetical protein CGLO_11150
1104|00378,hypothetical protein CGLO_14756
1104|00379,c6 zinc finger protein
1104|00380,alcohol dehydrogenase -like domain-containing protein
1104|00381,pyridine nucleotide-disulfide
1104|00382,hypothetical protein CGGC5_14081
1104|00383,f-box domain containing protein
1104|00384,homogentisate -dioxygenase
1104|00385,ssdna binding protein
1104|00386,thiamine biosynthetic bifunctional
1104|00387,annexin xiv
1104|00388,trna processing endoribonuclease
1104|00389,dna ligase
1104|00390,zip zinc transporter
1104|00391,mfs alpha-glucoside transporter
1104|00392,vacuolar protein sorting-associated protein 35
1104|00393,cfem domain-containing protein
1104|00394,cfem domain-containing protein
1104|00395,hypothetical protein CGLO_14757
1104|00396,gdsl-like lipase acylhydrolase
1104|00397,pectin lyase-like protein
1104|00398,lysr family regulatory protein
1104|00399,hypothetical protein CGGC5_13431
1104|00400,glycosyl hydrolase family 31
1104|00401,pa domain-containing protein
1104|00402,hypothetical protein CGGC5_13933
1104|00403,f-box domain containing protein
1104|00404,hypothetical protein CGGC5_13437
1104|00405,hypothetical protein CGGC5_13941
1104|00406,hypothetical protein CGLO_10460
1104|00407,d sugr sugar regulator
1104|00408,fad binding domain-containing protein
1104|00409,copper amine oxidase
1104|00410,nacht domain protein
1104|00411,maltose permease
1104|00412,hypothetical protein CGGC5_13436
1104|00413,hypothetical protein CGGC5_13418
1104|00414,fad binding domain-containing protein
1104|00415,restculine oxidase
1104|00416,f-box and wd repeat-containing protein
1104|00417,hypothetical protein CGGC5_13936
1104|00418,hypothetical protein CGGC5_13422
1104|00419,pyrroline-5-carboxylate reductase
1104|00420,peptidase family m28
1104|00421,cytochrome p450
1104|00422,mfs monocarboxylate
1104|00423,hypothetical protein CGLO_11807
1104|00424,hypothetical protein CGGC5_13435
1104|00425,cytochrome p450
1104|00426,cytochrome p450 oxidoreductase
1104|00427,cytochrome p450
1104|00428,hypothetical protein CGLO_10461
1104|00429,glutathione-dependent formaldehyde-activating enzyme
1104|00430,set domain-containing protein
1104|00431,fungal specific transcription factor domain-containing protein
1104|00432,het domain protein
1104|00433,7 transmembrane domain-containing protein
1104|00434,nadh-ubiquinone oxidoreductase kda partial
1104|00435,50s ribosomal protein l12
1104|00436,helicase associated domain-containing protein
1104|00437,inositol polyphosphate kinase
1104|00438,"hypothetical protein CGGC5_8442, partial"
1104|00439,hypothetical protein CGGC5_11578
1104|00440,denitrification regulatory protein nirq
1104|00441,ubiquitin carboxyl-terminal hydrolase 19
1104|00442,histone acetyl transferase hat1
1104|00443,peroxidase
1104|00444,stress response rci
1104|00445,methyltransferase domain-containing protein
1104|00446,related to reticuline oxidase (berberine bridge enzyme)
1104|00447,glutathione synthetase
1104|00448,pre-mrna cleavage complex ii protein clp1
1104|00449,acyl transferase
1104|00450,argonaute sirna chaperone complex subunit arb1
1104|00451,f-box domain containing protein
1104|00452,---NA---
1104|00453,ctd kinase subunit gamma
1104|00454,---NA---
1104|00455,hypothetical protein CGLO_17560
1104|00456,hypothetical protein CGGC5_4256
1104|00457,3-dehydroquinate synthase
1104|00458,cyclopentanone -monooxygenase
1104|00459,gdsl-like lipase acylhydrolase
1104|00460,bzip transcription factor
1104|00461,hypothetical protein CGGC5_4244
1104|00462,short-chain dehydrogenase reductase family
1104|00463,isochorismatase family
1104|00464,mfs quinate transporter
1104|00465,het domain-containing protein
1104|00466,hypothetical protein CGGC5_4267
1104|00467,aldehyde dehydrogenase
1104|00468,hexose carrier protein
1104|00469,ribonuclease iii
1104|00470,alpha amylase
1104|00471,hypothetical protein CGLO_06152
1104|00472,zn 2cys6 transcription factor
1104|00473,efflux pump antibiotic resistance protein
1104|00474,pheromone receptor 1
1104|00475,hypothetical protein CGGC5_8420
1104|00476,hypothetical protein CGGC5_4266
1104|00477,glycoside hydrolase family 18 protein
1104|00478,histidinol dehydrogenase
1104|00479,arabinan endo- -alpha-l-arabinosidase a
1104|00480,alpha-l-rhamnosidase
1104|00481,dead deah box helicase
1104|00482,tripeptidyl peptidase a
1104|00483,hypothetical protein CGLO_17569
1104|00484,alpha-galactosidase 2
1104|00485,hypothetical protein CGGC5_4243
1104|00486,rni-like protein
1104|00487,macrophage migration inhibitory factor
1104|00488,gmc oxidoreductase
1104|00489,gtr1 g domain containing protein
1104|00490,isoflavone reductase
1104|00491,hypothetical protein FOVG_19844
1104|00492,major facilitator superfamily transporter
1104|00493,RNase
1104|00494,hypothetical protein CGGC5_8410
1104|00495,epoxide hydrolase
1104|00496,keratin-associated protein 5-4
1104|00497,hypothetical protein CGGC5_4003
1104|00498,hypothetical protein CGGC5_4002
1104|00499,eukaryotic translation initiation factor 3 subunit
1104|00500,hypothetical protein CGGC5_4014
1104|00501,protein kinase domain-containing protein
1104|00502,ankyrin unc44
1104|00503,arid bright dna binding domain containing protein
1104|00504,serine threonine-protein kinase sgk2
1104|00505,voltage gated chloride channel
1104|00506,serine threonine-protein kinase sgk2
1104|00507,hypothetical protein CGGC5_3994
1104|00508,cytidine deoxycytidylate deaminase
1104|00509,mitochondrial large ribosomal subunit l49
1104|00510,l-amino-acid amidase
1104|00511,major facilitator superfamily transporter
1104|00512,hypothetical protein GLRG_11757
1104|00513,metallo-beta-lactamase superfamily protein
1104|00514,ctp synthase
1104|00515,protein kinase domain-containing protein
1104|00516,hypothetical protein CFIO01_06053
1104|00517,heterokaryon incompatibility protein
1104|00518,hypothetical protein Cob_01842
1104|00519,glycosyl hydrolase family 20
1104|00520,hsp90-like protein
1104|00521,amino acid permease
1104|00522,hypothetical protein CGGC5_5328
1104|00523,3 exoribonuclease family protein
1104|00524,domain-containing protein
1104|00525,duf803 domain membrane protein
1104|00526,arginine-trna-protein transferase
1104|00527,cytochrome c
1104|00528,glycoside hydrolase family 63
1104|00529,ribosome biogenesis atpase rix7
1104|00530,hypothetical protein CGGC5_5333
1104|00531,nudix domain-containing protein
1104|00532,maintenance of ploidy protein mob1
1104|00533,atp synthase subunit 5
1104|00534,lsm domain-containing protein
1104|00535,transposase-like protein
1104|00536,hypothetical protein GLRG_11757
1104|00537,c6 zinc finger domain-containing protein
1104|00538,nad nadp octopine nopaline dehydrogenase
1104|00539,nad dependent epimerase dehydratase
1104|00540,calcium-translocating p-type atpase
1104|00541,dihydroxy-acid dehydratase
1104|00542,o-acetylhomoserine o-acetylserine sulfhydrylase
1104|00543,fad binding domain-containing protein
1104|00544,hypothetical protein CGGC5_11001
1104|00545,alpha-ketoglutarate dependent xanthine dioxygenase
1104|00546,fungal cellulose binding domain-containing protein
1104|00547,duf895 domain membrane protein
1104|00548,protein phosphatase pp2a regulatory subunit a
1104|00549,pot family protein
1104|00550,cytochrome p450 monooxygenase
1104|00551,hypothetical protein CGLO_16892
1104|00552,c6 zinc finger domain-containing protein
1104|00553,hypothetical protein NECHADRAFT_55837
1104|00554,carbon-nitrogen hydrolase
1104|00555,trichothecene 3-o-acetyltransferase
1104|00556,glycoside hydrolase
1104|00557,alpha beta hydrolase fold protein
1104|00558,methyltransferase type 11
1104|00559,peptidase m23b
1104|00560,homoserine o-acetyltransferase
1104|00561,ferric reductase like transmembrane component
1104|00562,ncs1 nucleoside transporter
1104|00563,hypothetical protein CGGC5_5646
1104|00564,conserved glutamic acid-rich protein
1104|00565,aspartate kinase
1104|00566,hypothetical protein CGGC5_8414
1104|00567,hypothetical protein CGGC5_4642
1104|00568,major facilitator superfamily transporter
1104|00569,protein phosphatase
1104|00570,ncs1 nucleoside transporter
1104|00571,taurine catabolism dioxygenase
1104|00572,hypothetical protein CGGC5_8401
1104|00573,rna recognition domain-containing protein
1104|00574,hypothetical protein CGLO_08293
1104|00575,hypothetical protein CGLO_04220
1104|00576,asparaginyl-trna synthetase
1104|00577,hypothetical protein CGGC5_4645
1104|00578,polyketide cyclase dehydrase protein
1104|00579,hypothetical protein CGGC5_11002
1104|00580,hypothetical protein CGGC5_11003
1104|00581,hypothetical protein CGLO_07402
1104|00582,hypothetical protein Cob_07841
1104|00583,nacht and ankyrin domain protein
1104|00584,hypothetical protein MGG_15792
1104|00585,"hypothetical protein CGGC5_5996, partial"
1104|00586,pol-like protein
1104|00587,l-serine dehydratase
1104|00588,maltose permease
1104|00589,glutathione-dependent formaldehyde-activating enzyme
1104|00590,phenylalanyl-trna synthetase
1104|00591,hypothetical protein CGGC5_12640
1104|00592,ww domain-containing oxidoreductase
1104|00593,hypothetical protein CGGC5_2264
1104|00594,c6 finger domain-containing protein
1104|00595,hexose transporter protein
1104|00596,40s ribosomal protein s3
1104|00597,nf-x1 finger and helicase domain-containing protein
1104|00598,evolved d-pantonohydrolase
1104|00599,tpr domain-containing protein
1104|00600,hypothetical protein CGGC5_2263
1104|00601,hypothetical protein CGGC5_2268
1104|00602,glycerate dehydrogenase
1104|00603,duf1941 family protein
1104|00604,l-galactose dehydrogenase
1104|00605,alcohol dehydrogenase
1104|00606,short-chain dehydrogenase
1104|00607,hypothetical protein CGGC5_2262
1104|00608,hypothetical protein FOQG_10778
1104|00609,major facilitator superfamily transporter
1104|00610,endoglucanase c
1104|00611,methyltransferase domain-containing protein
1104|00612,hypothetical protein CGLO_09716
1104|00613,anaphase-promoting complex component cut20 apc4
1104|00614,ent-kaurene oxidase
1104|00615,hypothetical protein COCSADRAFT_356080
1104|00616,mitochondrial precursor
1104|00617,cell division control protein 42
1104|00618,synaptic vesicle transporter sv2 (major facilitator superfamily)
1104|00619,glycoside hydrolase family 95 protein
1104|00620,component of oligomeric golgi complex 6
1104|00621,heterokaryon incompatibility protein
1104|00622,udp-glucose:glycoprotein glucosyltransferase
1104|00623,hypothetical protein CGLO_06557
1104|00624,aaa family atpase
1104|00625,thioredoxin reductase
1104|00626,hypothetical protein CGGC5_1955
1104|00627,inf-
1104|00628,cell wall glucanase
1104|00629,essential for mitotic growth 1
1104|00630,cbs domain containing protein
1104|00631,domain-containing protein
1104|00632,domain-containing protein
1104|00633,rsc complex subunit
1104|00634,hypothetical protein CGGC5_12641
1104|00635,aminotransferase class i and ii
1104|00636,cystathionine gamma-synthase
1104|00637,ganp nin1 mts3 eif-3 p25 family protein
1104|00638,transmembrane protein
1104|00639,fatty acid desaturase
1104|00640,adaptor complexes medium subunit family protein
1104|00641,s-adenosylmethionine-dependent methyltransferase
1104|00642,cral trio domain-containing protein
1104|00643,aldehyde reductase ii
1104|00644,pci domain-containing protein
1104|00645,vacuole-associated enzyme activator complex component
1104|00646,ran-interacting mog1 protein
1104|00647,acetamidase formamidase
1104|00648,mold-specific protein ms95
1104|00649,ubiquitin carboxyl-terminal hydrolase
1104|00650,cell wall glucanase
1104|00651,hypothetical protein CGLO_12815
1104|00652,histone h2a
1104|00653,g-patch domain-containing protein
1104|00654,c2h2 finger domain-containing protein
1104|00655,hypothetical protein CGGC5_15044
1104|00656,hypothetical protein CGGC5_12643
1104|00657,sprt family metallopeptidase
1104|00658,hypothetical protein CGGC5_15048
1104|00659,hypothetical protein CGGC5_15046
1104|00660,hypothetical protein CGGC5_13977
1104|00661,metallo-beta-lactamase superfamily protein
1104|00662,ribosomal protein s17
1104|00663,dna repair and recombination protein rad54
1104|00664,rhomboid protein 2
1104|00665,coatomer wd associated region
1104|00666,otu-like cysteine protease
1104|00667,importin beta-3
1104|00668,rta1 domain-containing protein
1104|00669,chitin synthase activator
1104|00670,ring-14 protein
1104|00671,integral membrane protein
1104|00672,histone h2b
1104|00673,cysteine protease atg4
1104|00674,nadh-ubiquinone oxidoreductase 39 kda
1104|00675,mitochondrial carrier protein
1104|00676,autophagy protein apg9
1104|00677,cfem domain-containing protein
1104|00678,rhomboid family protein
1104|00679,gata zinc finger
1104|00680,hit domain-containing protein
1104|00681,complex 1 protein
1104|00682,isoprenylcysteine carboxyl methyltransferase
1104|00683,mitochondrial carrier protein
1104|00684,dash complex subunit dam1
1104|00685,---NA---
1104|00686,---NA---
1104|00687,nadh:flavin oxidoreductase nadh oxidase
1104|00688,enoyl- hydratase isomerase
1104|00689,rna polymerase ii mediator complex component
1104|00690,fmn-dependent dehydrogenase
1104|00691,hypothetical protein CGGC5_3003
1104|00692,het domain-containing protein
1104|00693,coiled-coil domain-containing protein 55
1104|00694,glycosyl hydrolase family 28
1104|00695,short chain dehydrogenase
1104|00696,amidohydrolase
1104|00697,uridine permease
1104|00698,hypothetical protein CGGC5_3004
1104|00699,gmc oxidoreductase
1104|00700,mannitol dehydrogenase domain-containing protein
1104|00701,infection structure specific protein
1104|00702,hypothetical protein CGGC5_3009
1104|00703,dihydroxyacetone synthase
1104|00704,serine threonine-protein kinase gad8
1104|00705,coatomer wd associated region
1104|00706,c6 transcription factor
1104|00707,short chain dehydrogenase
1104|00708,phosphoglucose isomerase
1104|00709,mfs sugar transporter
1104|00710,---NA---
1104|00711,short chain dehydrogenase
1104|00712,hypothetical protein CGLO_02071
1104|00713,hypothetical protein CGGC5_9589
1104|00714,quinate utilization oxidoreductase
1104|00715,glucose n-acetyltransferase
1104|00716,hypothetical protein CGLO_00998
1104|00717,ap-3 adaptor complex subunit beta
1104|00718,heterokaryon incompatibility protein
1104|00719,hypothetical protein CGGC5_13541
1104|00720,zinc knuckle
1104|00721,lmbr1 domain-containing protein
1104|00722,glycosyltransferase family 2 protein
1104|00723,rta1 like protein
1104|00724,rho protein gdp dissociation inhibitor
1104|00725,rna-binding protein rbm25
1104|00726,polyketide synthase
1104|00727,cytochrome p450 family protein
1104|00728,mfs transporter
1104|00729,methionine vitamin-b12
1104|00730,glycoside hydrolase family 43
1104|00731,major facilitator superfamily transporter
1104|00732,nuf2 family protein
1104|00733,arylsulfatase protein
1104|00734,hypothetical protein CGGC5_12087
1104|00735,hypothetical protein CGGC5_12088
1104|00736,trypsin-like serine typically contains c-terminal pdz domain protein
1104|00737,hypothetical protein CGLO_08084
1104|00738,polyadenylation factor subunit 2
